,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
433,George Marks,us USA,GK,Charlotte,22,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e75f9dba
434,Jahkeele Marshall-Rutty,ca CAN,DF,Toronto FC,17,2004,17,5,621,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.04,0.06,0.02,0.06,Matches,b9459f85
435,Nick Marsman,nl NED,GK,Inter Miami,31,1990,7,7,630,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f352799f
436,José Martínez,es ESP,DF,FC Dallas,28,1993,31,31,2620,29.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.9,0.03,0.00,0.03,0.03,0.03,Matches,8e049cbd
437,Josef Martínez,ve VEN,FW,Atlanta Utd,28,1993,26,12,1465,16.3,9,4,8,1,1,0,0,0.55,0.25,0.80,0.49,0.74,8.7,7.9,2.2,10.1,0.53,0.14,0.67,0.49,0.62,Matches,e73f0aa1
438,Luís Martins,pt POR,DFMF,Vancouver,29,1992,12,5,471,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.8,0.04,0.10,0.14,0.04,0.14,Matches,56b7c09b
439,Thiago Martins,br BRA,DF,NYCFC,26,1995,26,25,2152,23.9,0,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches,4d6ec370
440,Alexandru Mățan,ro ROU,FWMF,Columbus Crew,22,1999,6,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,1.78,0.00,1.78,1.78,1.78,Matches,3bd3bcc4
441,Rónald Matarrita,cr CRC,DF,FC Cincinnati,27,1994,7,2,224,2.5,1,3,1,0,0,1,0,0.40,1.21,1.61,0.40,1.61,0.1,0.1,0.9,1.0,0.05,0.36,0.41,0.05,0.41,Matches,491862dd
442,Jimmy Maurer,us USA,GK,FC Dallas,33,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ca1c6f3d
443,José Mauri,it ITA,MF,Sporting KC,25,1996,1,0,27,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,644faf10
444,Chris Mavinga,cd COD,DF,Toronto FC,30,1991,19,19,1494,16.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fda36cfb
445,Max,br BRA,MFFW,Colorado Rapids,20,2001,28,9,904,10.0,0,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,2.3,2.3,1.1,3.4,0.23,0.11,0.33,0.23,0.33,Matches,67c3efa4
446,Olivier Mbaizo,cm CMR,DF,Philadelphia,24,1997,19,14,1307,14.5,0,2,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,2.7,2.8,0.01,0.18,0.19,0.01,0.19,Matches,f6315619
447,Hugo-Hilaire Mbongue Mbongue,ca CAN,FW,Toronto FC,17,2004,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,df4fe2b7
448,John McCarthy,us USA,GK,Los Angeles FC,29,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,249362e9
449,Dax McCarty,us USA,MF,Nashville,34,1987,29,21,1770,19.7,0,1,0,0,1,4,1,0.00,0.05,0.05,0.00,0.05,1.8,1.0,2.6,3.6,0.09,0.13,0.22,0.05,0.18,Matches,b74e58c0
450,Aiden McFadden,us USA,DF,Atlanta Utd,23,1998,11,8,639,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.5,1.7,0.03,0.21,0.24,0.03,0.24,Matches,eed1b8f6
451,Jack McGlynn,us USA,MF,Philadelphia,18,2003,23,9,1018,11.3,1,3,1,0,0,3,0,0.09,0.27,0.35,0.09,0.35,0.8,0.8,1.5,2.4,0.07,0.14,0.21,0.07,0.21,Matches,e2b8c25c
452,Zac McGraw,us USA,DF,Portland Timbers,24,1997,22,11,1076,12.0,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,1.7,1.7,0.0,1.7,0.14,0.00,0.14,0.14,0.14,Matches,83129dc7
453,Kendall McIntosh,us USA,GK,Sporting KC,28,1994,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d1f3e74b
454,Thomas McNamara,us USA,MFFW,New England,30,1991,33,30,2477,27.5,4,3,4,0,0,8,0,0.15,0.11,0.25,0.15,0.25,2.4,2.4,1.1,3.5,0.09,0.04,0.13,0.09,0.13,Matches,ab36595d
455,Quinn McNeill,us USA,MF,Charlotte,23,1998,11,10,664,7.4,1,1,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,0.5,0.5,0.2,0.7,0.07,0.03,0.10,0.07,0.10,Matches,2a9b1a97
456,Christopher McVey,se SWE,DF,Inter Miami,24,1997,34,34,3039,33.8,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,1.4,1.4,0.9,2.3,0.04,0.03,0.07,0.04,0.07,Matches,149d8165
457,Ryan Meara,us USA,GK,NY Red Bulls,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,18f0723b
458,Jimmy Medranda,co COL,DFFW,Seattle,27,1994,21,8,651,7.2,0,2,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.9,0.9,1.5,2.4,0.12,0.21,0.33,0.12,0.33,Matches,6f7ac622
459,Haris Medunjanin,ba BIH,MF,FC Cincinnati,36,1985,20,4,472,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.4,1.5,0.03,0.26,0.29,0.03,0.29,Matches,de5d5d41
460,Tim Melia,us USA,GK,Sporting KC,35,1986,21,21,1852,20.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cc741f50
461,Jhegson Méndez,ec ECU,MF,Orlando City,24,1997,13,5,417,4.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.06,0.06,0.00,0.06,Matches,db0c5324
462,Jhegson Méndez,ec ECU,MFFW,Los Angeles FC,24,1997,9,1,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.08,0.06,0.14,0.08,0.14,Matches,db0c5324
463,Jonathan Mensah,gh GHA,DF,Columbus Crew,31,1990,30,30,2572,28.6,2,1,2,0,0,7,0,0.07,0.03,0.10,0.07,0.10,1.6,1.5,0.2,1.7,0.06,0.01,0.07,0.05,0.06,Matches,8087e6cb
464,Justin Meram,iq IRQ,MFFW,Real Salt Lake,33,1988,33,27,2276,25.3,3,6,3,0,0,4,0,0.12,0.24,0.36,0.12,0.36,3.0,3.0,6.7,9.7,0.12,0.27,0.39,0.12,0.39,Matches,ae34c71d
465,Romain Métanire,mg MAD,MF,Minnesota Utd,31,1990,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0fb21da9
466,Nicolás Mezquida,uy URU,MFFW,Colorado Rapids,30,1992,9,0,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.05,0.13,0.18,0.05,0.18,Matches,00b629e1
467,Matt Miazga,us USA,DF,FC Cincinnati,26,1995,10,10,828,9.2,2,0,2,0,0,2,0,0.22,0.00,0.22,0.22,0.22,0.5,0.5,0.9,1.4,0.05,0.10,0.16,0.05,0.16,Matches,9fc0f253
468,Micael,br BRA,MF,Houston Dynamo,21,2000,1,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ea95d7a6
469,Benji Michel,us USA,FWMF,Orlando City,24,1997,31,14,1504,16.7,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,3.4,3.4,0.7,4.1,0.21,0.04,0.25,0.21,0.25,Matches,151ca25f
470,Djordje Mihailovic,us USA,MFFW,CF Montréal,23,1998,27,25,1998,22.2,9,4,9,0,0,5,0,0.41,0.18,0.59,0.41,0.59,6.0,6.0,7.1,13.0,0.27,0.32,0.59,0.27,0.59,Matches,83cf9719
471,Matko Miljevic,us USA,MFFW,CF Montréal,20,2001,22,6,694,7.7,1,1,0,1,1,3,0,0.13,0.13,0.26,0.00,0.13,2.3,1.5,1.6,3.1,0.30,0.20,0.50,0.19,0.40,Matches,74b76abc
472,Eric Miller,us USA,DF,Nashville,29,1993,24,14,1345,14.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.01,0.05,0.06,0.01,0.06,Matches,c0593f5d
473,Kamal Miller,ca CAN,DF,CF Montréal,24,1997,27,26,2295,25.5,2,3,2,0,0,5,1,0.08,0.12,0.20,0.08,0.20,2.8,2.8,2.3,5.2,0.11,0.09,0.20,0.11,0.20,Matches,0646bd8a
474,Tyler Miller,us USA,GK,Minnesota Utd,28,1993,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7827a6b3
475,Kevin Molino,tt TRI,FW,Columbus Crew,31,1990,11,4,441,4.9,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.4,0.4,0.2,0.5,0.08,0.04,0.11,0.08,0.11,Matches,371645ca
476,Alex Monis,us USA,FW,Chicago Fire,18,2003,1,0,2,0.0,1,0,1,0,0,0,0,45.00,0.00,45.00,45.00,45.00,0.5,0.5,0.0,0.5,21.01,0.00,21.01,21.01,21.01,Matches,66db9e72
477,Jamiro Monteiro,cv CPV,MF,San Jose,28,1993,31,31,2637,29.3,4,6,4,0,0,3,1,0.14,0.20,0.34,0.14,0.34,2.9,2.9,5.1,8.0,0.10,0.17,0.27,0.10,0.27,Matches,d384bddd
478,Fredy Montero,co COL,FWMF,Seattle,34,1987,26,12,1284,14.3,4,1,3,1,1,2,0,0.28,0.07,0.35,0.21,0.28,6.0,5.2,1.9,7.1,0.42,0.13,0.55,0.36,0.50,Matches,bc5b5be5
479,Kim Moonhwan,kr KOR,DF,Los Angeles FC,26,1995,1,1,78,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6bce7dd8
480,Drew Moor,us USA,DFMF,Colorado Rapids,38,1984,9,1,230,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,220cf869
481,Shaquell Moore,us USA,DF,Nashville,25,1996,11,11,888,9.9,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,0.8,1.2,0.04,0.08,0.12,0.04,0.12,Matches,3b9f859b
482,Felipe Mora,cl CHI,FWMF,Portland Timbers,28,1993,7,0,83,0.9,1,0,0,1,1,0,0,1.08,0.00,1.08,0.00,0.00,1.3,0.6,0.0,0.6,1.46,0.00,1.46,0.60,0.60,Matches,f4b0ea46
483,Joseph Mora,cr CRC,DF,Charlotte,29,1993,23,18,1716,19.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,1.3,0.01,0.06,0.07,0.01,0.07,Matches,2af71023
484,Alfredo Morales,us USA,MFDF,NYCFC,31,1990,24,21,1880,20.9,0,2,0,0,0,9,1,0.00,0.10,0.10,0.00,0.10,0.9,0.8,0.8,1.6,0.04,0.04,0.08,0.04,0.08,Matches,ff45add5
485,Maximiliano Moralez,ar ARG,MF,NYCFC,34,1987,29,24,2100,23.3,2,6,2,0,1,5,0,0.09,0.26,0.34,0.09,0.34,3.9,3.1,7.6,10.7,0.17,0.32,0.49,0.13,0.46,Matches,f99f37fc
486,Steven Moreira,fr FRA,DF,Columbus Crew,27,1994,32,32,2783,30.9,1,5,1,0,0,6,0,0.03,0.16,0.19,0.03,0.19,0.7,0.7,3.1,3.8,0.02,0.10,0.12,0.02,0.12,Matches,f10983ae
487,Junior Moreno,ve VEN,MF,FC Cincinnati,28,1993,27,25,2038,22.6,2,0,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,1.1,2.0,0.04,0.05,0.09,0.04,0.09,Matches,5dcb4ac4
488,Marcelino Moreno,ar ARG,MFFW,Atlanta Utd,27,1994,30,18,1767,19.6,2,5,2,0,1,4,0,0.10,0.25,0.36,0.10,0.36,3.6,3.3,5.5,8.7,0.18,0.28,0.46,0.17,0.45,Matches,058c938c
489,Santiago Moreno,co COL,FWMF,Portland Timbers,21,2000,34,28,2428,27.0,7,6,4,3,3,2,0,0.26,0.22,0.48,0.15,0.37,6.8,4.5,6.2,10.7,0.25,0.23,0.48,0.17,0.40,Matches,3261d0e4
490,Lewis Morgan,sct SCO,FWMF,NY Red Bulls,25,1996,32,31,2659,29.5,14,3,8,6,6,2,0,0.47,0.10,0.58,0.27,0.37,10.3,5.6,4.4,10.0,0.35,0.15,0.50,0.19,0.34,Matches,b675e328
491,Aidan Morris,us USA,MF,Columbus Crew,20,2001,27,20,1811,20.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.4,1.2,0.04,0.02,0.06,0.04,0.06,Matches,3778339c
492,Jordan Morris,us USA,FW,Seattle,27,1994,29,27,2316,25.7,7,2,7,0,0,2,0,0.27,0.08,0.35,0.27,0.35,9.6,9.6,4.5,14.1,0.37,0.18,0.55,0.37,0.55,Matches,bd298d0d
493,Ravel Morrison,jm JAM,MFFW,D.C. United,28,1993,14,11,967,10.7,2,0,2,0,0,2,0,0.19,0.00,0.19,0.19,0.19,1.0,1.0,0.3,1.3,0.09,0.03,0.12,0.09,0.12,Matches,bf59c794
494,Edwin Mosquera,co COL,FWDF,Atlanta Utd,20,2001,12,1,312,3.5,0,2,0,0,0,3,0,0.00,0.58,0.58,0.00,0.58,0.5,0.5,0.9,1.4,0.16,0.26,0.41,0.16,0.41,Matches,15cda5f6
495,Juan Mosquera,co COL,DFMF,Portland Timbers,19,2002,3,2,189,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.01,0.06,0.04,0.06,Matches,bb18b3b6
496,Jean Mota,br BRA,MF,Inter Miami,28,1993,33,33,2660,29.6,2,2,2,0,0,6,1,0.07,0.07,0.14,0.07,0.14,2.0,2.0,3.2,5.2,0.07,0.11,0.18,0.07,0.18,Matches,1ee0513b
497,João Moutinho,pt POR,DF,Orlando City,24,1998,28,28,2457,27.3,2,1,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,1.5,1.4,1.7,3.1,0.05,0.06,0.12,0.05,0.11,Matches,a0aee24e
498,Chris Mueller,us USA,FW,Chicago Fire,25,1996,24,23,1962,21.8,4,5,4,0,1,5,0,0.18,0.23,0.41,0.18,0.41,5.8,5.0,4.0,9.0,0.26,0.18,0.45,0.23,0.41,Matches,a5334099
499,Hany Mukhtar,de GER,FWMF,Nashville,26,1995,33,32,2825,31.4,23,7,17,6,7,4,0,0.73,0.22,0.96,0.54,0.76,20.4,14.9,8.0,23.0,0.65,0.26,0.90,0.48,0.73,Matches,87fe8526
500,Jake Mulraney,ie IRL,FWDF,Atlanta Utd,25,1996,7,1,184,2.0,1,0,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,0.2,0.2,0.1,0.3,0.11,0.03,0.14,0.11,0.14,Matches,0f04858e
501,Jake Mulraney,ie IRL,FWMF,Orlando City,25,1996,17,10,728,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.3,0.09,0.07,0.16,0.09,0.16,Matches,0f04858e
502,Eddie Munjoma,us USA,DFFW,FC Dallas,23,1998,3,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0e1f6ffa
503,Ian Murphy,us USA,DF,FC Cincinnati,22,2000,26,16,1464,16.3,1,0,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,0.1,0.1,0.7,0.9,0.01,0.04,0.05,0.01,0.05,Matches,c6d233e3
504,Daniel Musovski,us USA,FWMF,Los Angeles FC,26,1995,16,6,513,5.7,2,1,2,0,0,2,0,0.35,0.18,0.53,0.35,0.53,1.9,1.9,0.6,2.6,0.34,0.11,0.45,0.34,0.45,Matches,925a2703
505,Daniel Musovski,us USA,FWMF,Real Salt Lake,26,1995,3,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches,925a2703
506,Alex Muyl,us USA,DFMF,Nashville,26,1995,29,22,2019,22.4,2,2,2,0,0,8,0,0.09,0.09,0.18,0.09,0.18,2.9,2.9,2.4,5.3,0.13,0.11,0.24,0.13,0.24,Matches,2c1025bf
507,Darlington Nagbe,us USA,MF,Columbus Crew,31,1990,34,34,3036,33.7,3,0,3,0,0,4,0,0.09,0.00,0.09,0.09,0.09,1.8,1.8,1.6,3.4,0.05,0.05,0.10,0.05,0.10,Matches,6219c704
508,Andy Najar,hn HON,DF,D.C. United,28,1993,23,20,1666,18.5,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,0.6,1.1,0.03,0.03,0.06,0.03,0.06,Matches,f8280175
509,Federico Navarro,ar ARG,MF,Chicago Fire,21,2000,30,27,2461,27.3,2,2,2,0,0,8,1,0.07,0.07,0.15,0.07,0.15,1.7,1.7,0.9,2.6,0.06,0.03,0.09,0.06,0.09,Matches,61c628be
510,Miguel Navarro,ve VEN,DF,Chicago Fire,22,1999,25,24,2172,24.1,0,1,0,0,0,9,1,0.00,0.04,0.04,0.00,0.04,0.4,0.4,2.2,2.6,0.02,0.09,0.11,0.02,0.11,Matches,3fbff39a
511,Hassan Ndam,cm CMR,DF,NY Red Bulls,23,1998,2,1,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,148f3d0f
512,Logan Ndenbe,be BEL,DF,Sporting KC,21,2000,22,19,1753,19.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.01,0.03,0.04,0.01,0.04,Matches,f625e8a5
513,Dylan Nealis,us USA,DF,NY Red Bulls,23,1998,28,20,1800,20.0,0,2,0,0,0,8,1,0.00,0.10,0.10,0.00,0.10,0.8,0.8,0.7,1.5,0.04,0.04,0.08,0.04,0.08,Matches,24f4dd87
514,Sean Nealis,us USA,DF,NY Red Bulls,25,1997,33,33,2952,32.8,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.7,2.5,0.06,0.02,0.08,0.06,0.08,Matches,8c1b17b3
515,Jayden Nelson,ca CAN,MFFW,Toronto FC,19,2002,31,25,1969,21.9,1,2,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,2.2,2.2,1.2,3.4,0.10,0.06,0.16,0.10,0.16,Matches,92305a81
516,John Nelson,us USA,DF,FC Cincinnati,23,1998,24,14,1203,13.4,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.9,1.1,0.02,0.07,0.08,0.02,0.08,Matches,df8c4d49
517,Michael Nelson,us USA,GK,Houston Dynamo,26,1995,2,1,155,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f4a12161
518,Jake Nerwinski,us USA,DF,Vancouver,27,1994,24,20,1809,20.1,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.03,0.00,0.03,0.03,0.03,Matches,2b5801d0
519,Harvey Neville,eng ENG,DF,Inter Miami,19,2002,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,92442794
520,Serge Ngoma,us USA,FWMF,NY Red Bulls,16,2005,7,1,116,1.3,2,0,2,0,0,0,0,1.55,0.00,1.55,1.55,1.55,0.4,0.4,0.0,0.4,0.28,0.03,0.31,0.28,0.31,Matches,de7a0fe6
521,Sam Nicholson,sct SCO,MFFW,Colorado Rapids,27,1995,15,10,831,9.2,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,1.4,2.1,0.08,0.15,0.22,0.08,0.22,Matches,8c8ac996
522,Jarosław Niezgoda,pl POL,FW,Portland Timbers,26,1995,30,23,1969,21.9,9,2,9,0,0,0,0,0.41,0.09,0.50,0.41,0.50,6.5,6.5,3.4,9.9,0.30,0.16,0.45,0.30,0.45,Matches,60c659b6
523,Tsiki Ntsabeleng,za RSA,MF,FC Dallas,23,1998,26,11,840,9.3,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,2.3,2.3,0.6,2.9,0.25,0.06,0.31,0.25,0.31,Matches,bcbc53d5
524,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,25,1996,24,23,2064,22.9,0,2,0,0,0,10,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,1.2,1.4,0.01,0.05,0.06,0.01,0.06,Matches,897c8066
525,Moses Nyeman,us USA,MF,D.C. United,18,2003,2,2,142,1.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,09d33255
526,Shane O'Neill,us USA,DF,Toronto FC,28,1993,26,21,1899,21.1,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,0.8,0.9,0.00,0.04,0.04,0.00,0.04,Matches,a62a56b4
527,Kevin O'Toole,us USA,FWMF,NYCFC,23,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.05,0.02,0.07,0.05,0.07,Matches,72a0f655
528,Jáder Obrian,co COL,FW,FC Dallas,26,1995,31,15,1343,14.9,2,2,2,0,0,5,0,0.13,0.13,0.27,0.13,0.27,3.7,3.7,2.7,6.4,0.25,0.18,0.43,0.25,0.43,Matches,1471b2a8
529,David Ochoa,us USA,GK,D.C. United,21,2001,9,9,810,9.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dba6b279
530,Chris Odoi-Atsem,us USA,DF,D.C. United,26,1995,20,8,851,9.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches,375ec69e
531,Chinonso Offor,ng NGA,FW,Chicago Fire,21,2000,7,3,268,3.0,1,0,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,1.4,1.4,0.2,1.5,0.46,0.06,0.51,0.46,0.51,Matches,dc590664
532,Braian Ojeda,py PAR,MF,Real Salt Lake,21,2000,6,3,352,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.04,0.02,0.04,Matches,60953af0
533,Noble Okello,ca CAN,MFFW,Toronto FC,21,2000,8,4,350,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.8,0.16,0.03,0.19,0.16,0.19,Matches,6bc16162
534,Wyatt Omsberg,us USA,DF,Chicago Fire,26,1995,14,14,1259,14.0,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.3,1.9,0.12,0.02,0.14,0.12,0.14,Matches,cd44ba68
535,Easton Ongaro,ca CAN,FW,Vancouver,23,1998,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8d3dd05f
536,Kwadwo Opoku,gh GHA,FWMF,Los Angeles FC,20,2001,34,20,1770,19.7,7,2,7,0,0,0,0,0.36,0.10,0.46,0.36,0.46,7.4,7.4,4.0,11.4,0.37,0.20,0.58,0.37,0.58,Matches,226a288e
537,Arquimides Ordonez,gt GUA,FWMF,FC Cincinnati,18,2003,8,0,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.65,0.00,0.65,0.65,0.65,Matches,8941d9b2
538,Sergio Oregel,us USA,MF,Chicago Fire,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f6c6ff09
539,Jaziel Orozco,us USA,DF,Real Salt Lake,17,2004,4,3,315,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches,46af4656
540,Christian Ortiz,ar ARG,MFFW,Charlotte,29,1992,15,8,642,7.1,1,2,1,0,0,4,0,0.14,0.28,0.42,0.14,0.42,0.6,0.6,2.2,2.8,0.08,0.30,0.39,0.08,0.39,Matches,bd8ddbd6
541,Jonathan Osorio,ca CAN,MF,Toronto FC,29,1992,23,20,1687,18.7,9,4,9,0,0,5,0,0.48,0.21,0.69,0.48,0.69,4.3,4.3,1.7,6.0,0.23,0.09,0.32,0.23,0.32,Matches,70106ff6
542,Bryan Oviedo,cr CRC,DFMF,Real Salt Lake,31,1990,6,4,361,4.0,0,2,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.1,0.1,0.3,0.4,0.02,0.08,0.10,0.02,0.10,Matches,31faf295
543,Leonard Owusu,gh GHA,MF,Vancouver,24,1997,19,10,877,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches,a06c6c8a
