,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
86,Tyler Blackett,eng ENG,DF,FC Cincinnati,27,1994,20,14,1342,14.9,0,1,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.2,1.8,0.04,0.08,0.12,0.04,0.12,Matches,a68a5466
87,Tristan Blackmon,us USA,DF,Vancouver,25,1996,28,23,2134,23.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,2.0,2.0,0.1,2.2,0.08,0.01,0.09,0.08,0.09,Matches,7f35d14e
88,Andre Blake,jm JAM,GK,Philadelphia,31,1990,34,34,3060,34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b3b21a11
89,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,33,1988,32,20,1820,20.2,7,7,6,1,1,7,0,0.35,0.35,0.69,0.30,0.64,5.6,4.8,5.4,10.2,0.28,0.27,0.54,0.24,0.50,Matches,4ddd0834
90,Latif Blessing,gh GHA,MFFW,Los Angeles FC,25,1996,30,16,1334,14.8,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,1.8,1.8,1.5,3.3,0.12,0.10,0.22,0.12,0.22,Matches,5153d32e
91,Emmanuel Boateng,gh GHA,FWMF,New England,28,1994,27,8,1002,11.1,2,2,2,0,0,1,0,0.18,0.18,0.36,0.18,0.36,1.7,1.7,2.6,4.3,0.15,0.23,0.39,0.15,0.39,Matches,25f77a5f
92,Blake Bodily,us USA,FWDF,Portland Timbers,24,1998,3,0,15,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,612a0951
93,Isaac Boehmer,us USA,GK,Vancouver,20,2001,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9792574e
94,Jonathan Bond,eng ENG,GK,LA Galaxy,28,1993,34,34,3060,34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c3a86eea
95,Pablo Bonilla,ve VEN,DF,Portland Timbers,22,1999,6,3,252,2.8,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,da23cdc3
96,Alex Bono,us USA,GK,Toronto FC,27,1994,24,24,2160,24.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,aa28a396
97,Jonathan Bornstein,us USA,DFMF,Chicago Fire,37,1984,22,13,1201,13.3,1,0,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,0.1,0.1,0.6,0.7,0.01,0.05,0.05,0.01,0.05,Matches,79a6c95f
98,Dylan Borrero,co COL,FW,New England,20,2002,12,7,602,6.7,3,1,3,0,0,1,0,0.45,0.15,0.60,0.45,0.60,1.7,1.7,0.9,2.6,0.25,0.14,0.39,0.25,0.39,Matches,a72d14de
99,Gustavo Bou,ar ARG,FW,New England,31,1990,19,17,1600,17.8,8,2,7,1,1,4,0,0.45,0.11,0.56,0.39,0.51,7.5,6.7,1.7,8.4,0.42,0.10,0.52,0.38,0.47,Matches,3dfcc735
